row_index,image_uid,file_name,relative_path,file_hash,model
69,4a6798f66f344ccd95d8f07cc1fd7410,A_1_h_16(2).jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(2).jpg,6bece1fd9f12824f713502f2882bbff20454a8144b26a95835e0b702dcd1b39f,openai/clip-vit-base-patch32
70,aeb3bfdae6b6487b8673707c22a1870b,A_1_h_16(3).jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(3).jpg,8dd43fba40994fcc1d2f4bbaa1e666bab6aa28c1531aa1b64a3b3b0d0ad43868,openai/clip-vit-base-patch32
71,727336bb2bd74d7789d0a3e0f5dfefd7,A_1_h_16(4).jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(4).jpg,bbd7ad7a438e834a12353db236e76e8bd47caffc15e7b800f7155d4c63594617,openai/clip-vit-base-patch32
72,d1ef91fc3b1840bf8bc3ce2d1ef00d0e,A_1_h_16(5).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(5).JPG,1d83f159784619fffe8badd86934c32d4d4e17fa7c3c59a51df9f6144613dddd,openai/clip-vit-base-patch32
73,428f03f038954de2b1722f35f5eab66d,A_1_h_16(6).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(6).JPG,bfbebe521d6cb3c331cad4e4703e61ac19275f1fc14e4be5fa81bc4a1b07c3cd,openai/clip-vit-base-patch32
74,aa45bbbdd70e4dcca5c30d6e19519237,A_1_h_16(7).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(7).JPG,62bf9de152154dab316ef5b9793b04a08c434cc20eb15251b18490c3ff7e7895,openai/clip-vit-base-patch32
75,4aad44f201c04a258ceb6699213accff,A_1_h_16(8).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(8).JPG,6495b0fb47743093fff1764fffc50de74e3602028b0f525336aa814eaad54c8a,openai/clip-vit-base-patch32
76,84ce231b832945c293521d1111a56538,A_1_h_16(9).JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(9).JPG,b8a5510f0d4ce2deee0df23a7cd3b5d2a24a6d398ae3339efa6bbf90ea0c59cd,openai/clip-vit-base-patch32
77,7b4edbfd51774410a87807a711e6038f,HY9A2343.jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/HY9A2343.jpg,017f7e0a29bbd7807292dc8204316dc02b86878778144c6686de9a27973dd8b0,openai/clip-vit-base-patch32
78,2cc36dd2d9b44c29b8f1b2507b265ea8,HY9A2344.jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/HY9A2344.jpg,6bece1fd9f12824f713502f2882bbff20454a8144b26a95835e0b702dcd1b39f,openai/clip-vit-base-patch32
79,9e365b5561094c538514aa4313b28142,HY9A2345.jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/HY9A2345.jpg,8dd43fba40994fcc1d2f4bbaa1e666bab6aa28c1531aa1b64a3b3b0d0ad43868,openai/clip-vit-base-patch32
80,5d864d478bcd42feaaa7437a3b98db8e,HY9A2346.jpg,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/HY9A2346.jpg,bbd7ad7a438e834a12353db236e76e8bd47caffc15e7b800f7155d4c63594617,openai/clip-vit-base-patch32
81,63c65070acba4abfbdd67cbc180f54ec,P1010138.JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/P1010138.JPG,1d83f159784619fffe8badd86934c32d4d4e17fa7c3c59a51df9f6144613dddd,openai/clip-vit-base-patch32
82,42e30a08440c4804961d01acbdeb858f,P1010139.JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/P1010139.JPG,bfbebe521d6cb3c331cad4e4703e61ac19275f1fc14e4be5fa81bc4a1b07c3cd,openai/clip-vit-base-patch32
83,f9f26b012f7742918e312a2aed2c3bb3,P1010140.JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/P1010140.JPG,62bf9de152154dab316ef5b9793b04a08c434cc20eb15251b18490c3ff7e7895,openai/clip-vit-base-patch32
84,1c95a15212c94900a78166e9e0439c54,P1010141.JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/P1010141.JPG,6495b0fb47743093fff1764fffc50de74e3602028b0f525336aa814eaad54c8a,openai/clip-vit-base-patch32
85,149ff7e2c94b4ed9bcdb87bf4c8f7be5,P1010143.JPG,Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/P1010143.JPG,b8a5510f0d4ce2deee0df23a7cd3b5d2a24a6d398ae3339efa6bbf90ea0c59cd,openai/clip-vit-base-patch32
