id,image_id,image_name,sharpness_score,exposure_score,overall_score,is_best_in_group,scored_at
162,162,Artefacts_A_Var_Copyrright_L_Ling/A1c250_2.jpg,0.2157,0.9652,0.5904,False,2026-08-11 18:55:19
163,163,Artefacts_A_Var_Copyrright_L_Ling/A1c215_2.jpg,0.0971,0.8961,0.4966,False,2026-08-11 18:55:19
164,164,Artefacts_A_Var_Copyrright_L_Ling/A1f17_2a.jpg,0.0325,0.9319,0.4822,False,2026-08-11 18:55:19
165,165,Artefacts_A_Var_Copyrright_L_Ling/A1b8_2.jpg,0.7418,0.7438,0.7428,False,2026-08-11 18:55:19
166,166,Artefacts_A_Var_Copyrright_L_Ling/A1c271a.jpg,0.1458,0.9111,0.5284,False,2026-08-11 18:55:19
167,167,Artefacts_A_Var_Copyrright_L_Ling/A1e41x.jpg,0.2914,0.9277,0.6096,False,2026-08-11 18:55:19
168,168,Artefacts_A_Var_Copyrright_L_Ling/A1e41o.jpg,0.2387,0.9426,0.5906,False,2026-08-11 18:55:19
169,169,Artefacts_A_Var_Copyrright_L_Ling/A1e34a.jpg,0.4869,0.9545,0.7207,False,2026-08-11 18:55:19
170,170,Artefacts_A_Var_Copyrright_L_Ling/A1e41k.jpg,0.0434,0.9714,0.5074,False,2026-08-11 18:55:19
171,171,Artefacts_A_Var_Copyrright_L_Ling/A1b69.jpg,0.1799,0.9022,0.541,False,2026-08-11 18:55:19
172,172,Artefacts_A_Var_Copyrright_L_Ling/A1b41.jpg,0.3126,0.8261,0.5694,False,2026-08-11 18:55:19
173,173,Artefacts_A_Var_Copyrright_L_Ling/A1b55.jpg,1,0.9857,0.9928,False,2026-08-11 18:55:19
174,174,Artefacts_A_Var_Copyrright_L_Ling/A1c251_13.jpg,0.6962,0.9871,0.8416,False,2026-08-11 18:55:19
175,175,Artefacts_A_Var_Copyrright_L_Ling/A1c33d.jpg,0.0357,0.9946,0.5152,False,2026-08-11 18:55:19
176,176,Artefacts_A_Var_Copyrright_L_Ling/A1c35.jpg,0.0264,0.9901,0.5082,False,2026-08-11 18:55:19
177,177,Artefacts_A_Var_Copyrright_L_Ling/A1c21.jpg,0.1114,0.9673,0.5394,False,2026-08-11 18:55:19
178,178,Artefacts_A_Var_Copyrright_L_Ling/A1c250_6.jpg,0.163,0.9829,0.573,False,2026-08-11 18:55:19
179,179,Artefacts_A_Var_Copyrright_L_Ling/A1c250_7.jpg,0.1627,0.866,0.5144,False,2026-08-11 18:55:19
180,180,Artefacts_A_Var_Copyrright_L_Ling/A1c66m.jpg,0.11,0.9474,0.5287,False,2026-08-11 18:55:19
181,181,Artefacts_A_Var_Copyrright_L_Ling/A1c66z.jpg,0.3934,0.8387,0.616,False,2026-08-11 18:55:19
182,182,Artefacts_A_Var_Copyrright_L_Ling/A1c134a.jpg,0.2088,0.9204,0.5646,False,2026-08-11 18:55:19
183,183,Artefacts_A_Var_Copyrright_L_Ling/A1c20.jpg,0.4096,0.9093,0.6594,False,2026-08-11 18:55:19
184,184,Artefacts_A_Var_Copyrright_L_Ling/A1c1j.jpg,0.6763,0.621,0.6486,False,2026-08-11 18:55:19
185,185,Artefacts_A_Var_Copyrright_L_Ling/A1b77a.jpg,0.0282,0.5597,0.294,False,2026-08-11 18:55:19
186,186,Artefacts_A_Var_Copyrright_L_Ling/A1c32a.jpg,0.0331,0.9522,0.4926,False,2026-08-11 18:55:19
187,187,Artefacts_A_Var_Copyrright_L_Ling/A1b9a.jpg,0.0864,0.9854,0.5359,False,2026-08-11 18:55:19
188,188,Artefacts_A_Var_Copyrright_L_Ling/A1c251_12.jpg,0.2327,0.8569,0.5448,False,2026-08-11 18:55:19
189,189,Artefacts_A_Var_Copyrright_L_Ling/A1b61a.jpg,0.6793,0.9665,0.8229,False,2026-08-11 18:55:19
190,190,Artefacts_A_Var_Copyrright_L_Ling/A1e32.jpg,0.0499,0.8684,0.4591,False,2026-08-11 18:55:19
191,191,Artefacts_A_Var_Copyrright_L_Ling/A1e26.jpg,0.0899,0.9628,0.5264,False,2026-08-11 18:55:19
192,192,Artefacts_A_Var_Copyrright_L_Ling/A1e41j.jpg,0.3813,0.8728,0.627,False,2026-08-11 18:55:19
193,193,Artefacts_A_Var_Copyrright_L_Ling/A1e30.jpg,0.0877,0.97,0.5288,False,2026-08-11 18:55:19
194,194,Artefacts_A_Var_Copyrright_L_Ling/A1e24.jpg,0.0802,0.989,0.5346,False,2026-08-11 18:55:19
195,195,Artefacts_A_Var_Copyrright_L_Ling/A1b9c.jpg,0.3917,0.8946,0.6432,False,2026-08-11 18:55:19
196,196,Artefacts_A_Var_Copyrright_L_Ling/A1c251_10.jpg,0.2622,0.972,0.6171,False,2026-08-11 18:55:19
197,197,Artefacts_A_Var_Copyrright_L_Ling/A1c1h.jpg,0.4513,0.4572,0.4542,False,2026-08-11 18:55:19
198,198,Artefacts_A_Var_Copyrright_L_Ling/A1c36.jpg,0.0253,0.9424,0.4838,False,2026-08-11 18:55:19
